,time,Z
2000,2.0,-0.102201
2001,2.001,-0.103618
2002,2.002,-0.10494
2003,2.003,-0.106343
2004,2.004,-0.107729
2005,2.005,-0.109054
2006,2.006,-0.110458
2007,2.007,-0.111837
2008,2.008,-0.113274
2009,2.009,-0.114601
2010,2.01,-0.115994
2011,2.011,-0.11738
2012,2.012,-0.118803
2013,2.013,-0.120154
2014,2.014,-0.121718
2015,2.015,-0.123059
2016,2.016,-0.124516
2017,2.017,-0.125862
2018,2.018,-0.127311
2019,2.019,-0.128671
2020,2.02,-0.130204
2021,2.021,-0.131515
2022,2.022,-0.132933
2023,2.023,-0.134415
2024,2.024,-0.135785
2025,2.025,-0.137202
2026,2.026,-0.138774
2027,2.027,-0.140085
2028,2.028,-0.141512
2029,2.029,-0.143013
2030,2.03,-0.144525
2031,2.031,-0.145832
2032,2.032,-0.147339
2033,2.033,-0.148787
2034,2.034,-0.150233
2035,2.035,-0.151664
2036,2.036,-0.153199
2037,2.037,-0.15465
2038,2.038,-0.156102
2039,2.039,-0.15748
2040,2.04,-0.158895
2041,2.041,-0.160489
2042,2.042,-0.161948
2043,2.043,-0.16334
2044,2.044,-0.164816
2045,2.045,-0.166278
2046,2.046,-0.167731
2047,2.047,-0.169212
2048,2.048,-0.170733
2049,2.049,-0.17216
2050,2.05,-0.173628
2051,2.051,-0.17515
2052,2.052,-0.176654
2053,2.053,-0.178054
2054,2.054,-0.179592
2055,2.055,-0.181014
2056,2.056,-0.182553
2057,2.057,-0.183967
2058,2.058,-0.185515
2059,2.059,-0.187003
2060,2.06,-0.188479
2061,2.061,-0.189979
2062,2.062,-0.191468
2063,2.063,-0.19296
2064,2.064,-0.194444
2065,2.065,-0.195942
2066,2.066,-0.197405
2067,2.067,-0.198917
2068,2.068,-0.200401
2069,2.069,-0.201901
2070,2.07,-0.203396
2071,2.071,-0.204893
2072,2.072,-0.206386
2073,2.073,-0.207898
2074,2.074,-0.209434
2075,2.075,-0.210915
2076,2.076,-0.212405
2077,2.077,-0.2139
2078,2.078,-0.21537
2079,2.079,-0.216894
2080,2.08,-0.218361
2081,2.081,-0.219864
2082,2.082,-0.221416
2083,2.083,-0.222859
2084,2.084,-0.224471
2085,2.085,-0.225981
2086,2.086,-0.22742
2087,2.087,-0.228991
2088,2.088,-0.230472
2089,2.089,-0.231834
2090,2.09,-0.233525
2091,2.091,-0.234919
2092,2.092,-0.236534
2093,2.093,-0.237941
2094,2.094,-0.239489
2095,2.095,-0.240918
2096,2.096,-0.242554
2097,2.097,-0.243866
2098,2.098,-0.245521
2099,2.099,-0.24699
2100,2.1,-0.248485
2101,2.101,-0.249994
2102,2.102,-0.25155
2103,2.103,-0.25301
2104,2.104,-0.254514
2105,2.105,-0.255983
2106,2.106,-0.257568
2107,2.107,-0.25912
2108,2.108,-0.26055
2109,2.109,-0.261987
2110,2.11,-0.263555
2111,2.111,-0.26505
2112,2.112,-0.266542
2113,2.113,-0.268006
2114,2.114,-0.269527
2115,2.115,-0.271028
2116,2.116,-0.272542
2117,2.117,-0.274069
2118,2.118,-0.275516
2119,2.119,-0.277005
2120,2.12,-0.278459
2121,2.121,-0.279944
2122,2.122,-0.281491
2123,2.123,-0.28299
2124,2.124,-0.284454
2125,2.125,-0.285924
2126,2.126,-0.287374
2127,2.127,-0.288858
2128,2.128,-0.290426
2129,2.129,-0.291865
2130,2.13,-0.293337
2131,2.131,-0.294807
2132,2.132,-0.296251
2133,2.133,-0.297772
2134,2.134,-0.29923
2135,2.135,-0.300661
2136,2.136,-0.302211
2137,2.137,-0.303583
2138,2.138,-0.305126
2139,2.139,-0.306542
2140,2.14,-0.308027
2141,2.141,-0.309554
2142,2.142,-0.310925
2143,2.143,-0.312444
2144,2.144,-0.313847
2145,2.145,-0.315386
2146,2.146,-0.316694
2147,2.147,-0.318258
2148,2.148,-0.319662
2149,2.149,-0.32112
2150,2.15,-0.322612
2151,2.151,-0.323967
2152,2.152,-0.325488
2153,2.153,-0.326936
2154,2.154,-0.328319
2155,2.155,-0.329791
2156,2.156,-0.331278
2157,2.157,-0.332682
2158,2.158,-0.334185
2159,2.159,-0.335466
2160,2.16,-0.337003
2161,2.161,-0.338411
2162,2.162,-0.339832
2163,2.163,-0.341341
2164,2.164,-0.34268
2165,2.165,-0.344119
