time,Z
0.0,0.0
0.001,-0.166477
0.002,-0.004024
0.003,-0.003021
0.004,-0.002783
0.005,-0.002661
0.006,-0.002551
0.007,-0.002462
0.008,-0.002384
0.009,-0.002311
0.01,-0.002247
0.011,-0.002188
0.012,-0.002131
0.013,-0.002076
0.014,-0.002024
0.015,-0.001974
0.016,-0.001926
0.017,-0.001878
0.018,-0.001831
0.019,-0.001785
0.02,-0.001739
0.021,-0.001694
0.022,-0.001649
0.023,-0.001608
0.024,-0.001576
0.025,-0.001547
0.026,-0.001513
0.027,-0.001477
0.028,-0.00144
0.029,-0.001402
0.03,-0.001363
0.031,-0.001324
0.032,-0.001285
0.033,-0.001247
0.034,-0.001208
0.035,-0.001156
0.036,-0.001117
0.037,-0.001076
0.038,-0.001034
0.039,-0.000986
0.04,-0.000947
0.041,-0.000915
0.042,-0.000861
0.043,-0.000841
0.044,-0.000789
0.045,-0.000745
0.046,-0.000701
0.047,-0.000658
0.048,-0.000616
0.049,-0.000573
0.05,-0.00053
0.051,-0.000365
0.052,-0.000302
0.053,-0.00023
0.054,-0.000169
0.055,-0.000112
0.056,-5.7e-05
0.057,-1.6e-05
0.058,4.9e-05
0.059,8.7e-05
0.06,0.000149
0.061,0.000186
0.062,0.000247
0.063,0.000283
0.064,0.000342
0.065,0.000385
0.066,0.00043
0.067,0.000475
0.068,0.000518
0.069,0.000562
0.07,0.000605
0.071,0.000648
0.072,0.00069
0.073,0.000733
0.074,0.000775
0.075,0.000817
0.076,0.00086
0.077,0.000902
0.078,0.000945
0.079,0.000987
0.08,0.001029
0.081,0.00107
0.082,0.001112
0.083,0.001153
0.084,0.001194
0.085,0.001236
0.086,0.001277
0.087,0.001319
0.088,0.001361
0.089,0.001402
0.09,0.001444
0.091,0.001486
0.092,0.001527
0.093,0.001196
0.094,0.001473
0.095,0.001519
0.096,0.001235
0.097,0.001536
0.098,0.001593
0.099,0.001309
0.1,0.001623
0.101,0.00132
0.102,0.001657
0.103,0.001356
0.104,0.001703
0.105,0.001401
0.106,0.001758
0.107,0.00145
0.108,0.001449
0.109,0.001438
0.11,0.001448
0.111,0.00146
0.112,0.001477
0.113,0.001493
0.114,0.001515
0.115,0.001533
0.116,0.001554
0.117,0.001574
0.118,0.001595
0.119,0.001615
0.12,0.001636
0.121,0.001657
0.122,0.001677
0.123,0.001698
0.124,0.001719
0.125,0.001739
0.126,0.001759
0.127,0.001779
0.128,0.001799
0.129,0.001819
0.13,0.001839
0.131,0.001857
0.132,0.001879
0.133,0.001897
0.134,0.001917
0.135,0.001938
0.136,0.001956
0.137,0.001976
0.138,0.001996
0.139,0.002015
0.14,0.002033
0.141,0.002052
0.142,0.002071
0.143,0.00209
0.144,0.002108
0.145,0.002126
0.146,0.002146
0.147,0.002165
0.148,0.002006
0.149,0.002097
0.15,0.002159
0.151,0.002029
0.152,0.002132
0.153,0.002028
0.154,0.002147
0.155,0.002051
0.156,0.00217
0.157,0.002074
0.158,0.002194
0.159,0.002103
0.16,0.00207
0.161,0.00221
0.162,0.002131
0.163,0.002102
0.164,0.002095
0.165,0.002098
0.166,0.002105
0.167,0.002116
0.168,0.002123
0.169,0.002137
0.17,0.002144
0.171,0.00216
0.172,0.002168
0.173,0.002181
0.174,0.002192
0.175,0.002202
0.176,0.002215
0.177,0.002227
0.178,0.002239
0.179,0.00225
0.18,0.002262
0.181,0.002273
0.182,0.002287
0.183,0.002158
0.184,0.002254
0.185,0.002162
0.186,0.002266
0.187,0.002179
0.188,0.002155
0.189,0.002283
0.19,0.0022
0.191,0.002182
0.192,0.002181
0.193,0.002189
0.194,0.002197
0.195,0.002205
0.196,0.002213
0.197,0.002224
0.198,0.002232
0.199,0.002243
0.2,0.002253
0.201,0.002261
0.202,0.002273
0.203,0.002281
0.204,0.002294
0.205,0.002304
0.206,0.002311
0.207,0.002324
0.208,0.002334
0.209,0.002347
0.21,0.002354
0.211,0.002366
0.212,0.002378
0.213,0.002387
0.214,0.002403
0.215,0.002405
0.216,0.00232
0.217,0.002398
0.218,0.002332
0.219,0.002414
0.22,0.002352
0.221,0.002343
